# +--------------------------------------------------------------------+
#  Project:   Starshatter 5.0
#  File:      content.txt
#
#  Default ENGLISH / USA text
#
#  Destroyer Studios LLC
#  Copyright © 1997-2007. All Rights Reserved.
# +--------------------------------------------------------------------+

FORCOM                      = FORCOM
TACNET                      = TACNET
SECURE                      = SECURE
Mail                        = Mail
News                        = News
Unknown                     = Unknown
Pending                     = Pending
Active                      = Active
Skipped                     = Skipped
Aborted                     = Aborted
Failed                      = Failed
Complete                    = Complete
Reserve                     = Reserve
Secret                      = Secret
Known                       = Known
Located                     = Located
Tracked                     = Tracked

Patrol                      = Patrol
Sweep                       = Sweep
Intercept                   = Intercept
Airborne Patrol             = Airborne Patrol
Airborne Sweep              = Airborne Sweep
Airborne Intercept          = Airborne Intercept
Strike                      = Strike
Assault                     = Assault
Defend                      = Defend
Escort                      = Escort
Freight Escort              = Freight Escort
Shuttle Escort              = Shuttle Escort
Strike Escort               = Strike Escort
Intel                       = Intel
Scout                       = Scout
Recon                       = Recon
Blockade                    = Blockade
Fleet                       = Fleet
Attack                      = Attack
Flight Ops                  = Flight Ops
Transport                   = Transport
Cargo                       = Cargo
Training                    = Training
Misc                        = Misc

[unknown]                   = [unknown]
killed.in.action            = (KIA)
ASTEROID                    = ASTEROID
DEBRIS                      = DEBRIS

ordinal.0   = th
ordinal.1   = st
ordinal.2   = nd
ordinal.3   = rd
ordinal.4   = th
ordinal.5   = th
ordinal.6   = th
ordinal.7   = th
ordinal.8   = th
ordinal.9   = th
ordinal.10  = th
ordinal.11  = th
ordinal.12  = th
ordinal.13  = th
ordinal.14  = th
ordinal.15  = th
ordinal.16  = th
ordinal.17  = th
ordinal.18  = th
ordinal.19  = th

main.auth-invalid               = Starshatter is not properly installed.  Please re-install from the original installation program.\nMake sure you have provided a valid CDKEY.\n\nFor more information, visit http://www.matrixgames.com
main.title.error                = Starshatter - Error

Starshatter.load.general        = Loading...
Starshatter.load.tac-ref        = Loading Reference Data...
Starshatter.load.campaign       = Initializing Campaign Data...
Starshatter.load.start          = Starting Campaign...
Starshatter.load.drives         = Initializing Drives...
Starshatter.load.explosions     = Initializing Explosions...
Starshatter.load.systems        = Initializing Systems...
Starshatter.load.ships          = Initializing Ships...
Starshatter.load.hud            = Initializing HUD/MFDs...
Starshatter.load.menus          = Initializing Menus...
Starshatter.load.simulation     = Initializing Simulation...
Starshatter.load.viewscreen     = Initializing Viewscreen...
Starshatter.load.mission        = Loading Mission...
Starshatter.load.loaded         = Loaded
Starshatter.load.ready          = Ready
Starshatter.load.complete       = Complete

CombatGroup.FLEET               = Fleet
CombatGroup.CARRIER_GROUP       = Carrier Battle Group
CombatGroup.BATTLE_GROUP        = Cruiser Battle Group
CombatGroup.DESTROYER_SQUADRON  = Destroyer Squadron
CombatGroup.WING                = Tactical Fighter Wing
CombatGroup.ATTACK_SQUADRON     = Attack Squadron
CombatGroup.FIGHTER_SQUADRON    = Fighter Squadron
CombatGroup.INTERCEPT_SQUADRON  = Intercept Squadron
CombatGroup.LCA_SQUADRON        = LCA Squadron
CombatGroup.BATTALION           = Battalion
CombatGroup.STATION             = Station
CombatGroup.STARBASE            = Starbase
CombatGroup.MINEFIELD           = Minefield
CombatGroup.BATTERY             = Defense Battery
CombatGroup.MISSILE             = Missile Battery
CombatGroup.C3I                 = C3I Station
CombatGroup.COMM_RELAY          = Comm Station
CombatGroup.EARLY_WARNING       = Early Warning Ctr
CombatGroup.FWD_CONTROL_CTR     = Fwd Control Ctr
CombatGroup.ECM                 = ECM Station
CombatGroup.SUPPORT             = Support Group
CombatGroup.COURIER             = Courier Group
CombatGroup.SUPPLY              = Supply Group
CombatGroup.REPAIR              = Support Group
CombatGroup.MEDICAL             = MedEvac Group
CombatGroup.default             = Civilian Traffic

CombatGroup.abrv.FLEET               = FLEET
CombatGroup.abrv.CARRIER_GROUP       = CVBG
CombatGroup.abrv.BATTLE_GROUP        = CRBG
CombatGroup.abrv.DESTROYER_SQUADRON  = DESRON
CombatGroup.abrv.WING                = TFW
CombatGroup.abrv.ATTACK_SQUADRON     = AS
CombatGroup.abrv.FIGHTER_SQUADRON    = FS
CombatGroup.abrv.INTERCEPT_SQUADRON  = IS
CombatGroup.abrv.LCA_SQUADRON        = LS
CombatGroup.abrv.BATTALION           = Battalion
CombatGroup.abrv.STATION             = Station
CombatGroup.abrv.STARBASE            = Starbase
CombatGroup.abrv.MINEFIELD           = Minefield
CombatGroup.abrv.BATTERY             = DFNS BTTY
CombatGroup.abrv.MISSILE             = DFNS BTTY
